Unnamed: 0|Unnamed: 0.1|Date_x|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|prctChangeOPEN|TargetProbability|Date_y|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
554|554|2014-03-19|91.74|92.28|90.45|90.99|570230|USD|554|0.9840000000000001|0.4271013782971028|2018-09-28|1|2018-09-28|1|2018-09-28|1
555|555|2014-03-20|90.3|92.54|90.25|92.48|868840|USD|555|1.0390000000000001|0.4337868695531352|2018-10-01|1|2018-10-01|1|2018-10-01|1
556|556|2014-03-21|93.79|93.83|92.2|92.39|1046481|USD|556|0.985|0.3941576116291737|2018-10-02|2|2018-10-02|2|2018-10-02|2
557|557|2014-03-24|92.34|92.54|90.72|91.11|851864|USD|557|0.992|0.4056450514321878|2018-10-03|1|2018-10-03|1|2018-10-03|1
558|558|2014-03-25|91.59|92.26|90.76|91.98|1166228|USD|558|1.018|0.4173410401553455|2018-10-04|1|2018-10-04|1|2018-10-04|1
559|559|2014-03-26|93.22|93.35|92.25|92.28|675163|USD|559|0.9940000000000001|0.3997439749329288|2018-10-08|1|2018-10-08|1|2018-10-08|1
560|560|2014-03-27|92.66|92.92|91.83|91.97|544220|USD|560|0.9940000000000001|0.4071343673639544|2018-10-09|1|2018-10-09|1|2018-10-09|1
561|561|2014-03-28|92.1|92.46|91.55|91.83|340801|USD|561|1.0090000000000001|0.4176270114174935|2018-10-10|1|2018-10-10|1|2018-10-10|1
562|562|2014-03-31|92.9|93.55|92.62|93.36|625574|USD|562|1.006|0.4113735073525331|2018-10-11|2|2018-10-11|2|2018-10-11|2
563|563|2014-04-01|93.48|93.78|93.06|93.57|862582|USD|563|0.992|0.403808170622864|2018-10-12|1|2018-10-12|1|2018-10-12|1
564|564|2014-04-02|92.74|93.37|92.45|93.21|442168|USD|564|1.002|0.4024773837745166|2018-10-16|4|2018-10-16|4|2018-10-16|4
565|565|2014-04-03|92.89|93.1|92.05|92.17|547055|USD|565|0.995|0.4017116928636325|2018-10-17|6|2018-10-17|6|2018-10-17|6
566|566|2014-04-04|92.39|92.71|90.5|90.82|665409|USD|566|0.986|0.4084104239701729|2018-10-18|1|2018-10-18|1|2018-10-18|1
567|567|2014-04-07|91.13|91.2|89.82|89.97|758690|USD|567|0.987|0.4226201645400744|2018-10-22|1|2018-10-22|1|2018-10-22|1
568|568|2014-04-08|89.91|90.7|89.25|89.56|1193931|USD|568|1.014|0.4331422057381155|2018-10-24|1|2018-10-24|1|2018-10-24|1
569|569|2014-04-09|91.14|92.49|90.66|92.4|864265|USD|569|1.016|0.43650097065522103|2018-10-25|1|2018-10-25|1|2018-10-25|1
570|570|2014-04-10|92.61|92.63|89.58|89.89|1505585|USD|570|0.948|0.4222498345847674|2018-10-30|2|2018-10-30|2|2018-10-30|2
571|571|2014-04-11|87.76|88.43|86.73|87.33|2109723|USD|571|0.987|0.4692371796743143|2018-10-31|1|2018-10-31|1|2018-10-31|1
572|572|2014-04-14|86.58|87.3|85.95|86.57|1415053|USD|572|0.9940000000000001|0.4874777358272817|2018-11-06|1|2018-11-06|1|2018-11-06|1
573|573|2014-04-15|86.09|86.58|84.73|85.14|2003374|USD|573|0.9329999999999999|0.4941455326047803|2018-11-07|3|2018-11-07|3|2018-11-07|3
574|574|2014-04-16|80.31|82.35|79.94|82.23|5624200|USD|574|1.0190000000000001|0.5934765804375274|2018-11-08|2|2018-11-08|2|2018-11-08|2
575|575|2014-04-17|81.82|82.38|81.35|81.65|1790445|USD|575|1.0|0.5776938285008589|2018-11-13|2|2018-11-13|2|2018-11-13|2
576|576|2014-04-21|81.81|82.31|81.04|81.65|856713|USD|576|1.0|0.5661309136840647|2018-11-14|1|2018-11-14|1|2018-11-14|1
577|577|2014-04-22|81.85|82.27|81.59|81.68|820120|USD|577|0.996|0.5725969304834888|2018-11-15|1|2018-11-15|1|2018-11-15|1
578|578|2014-04-23|81.5|82.97|81.45|82.0|1469106|USD|578|1.026|0.5963522706029587|2018-11-16|4|2018-11-16|4|2018-11-16|4
579|579|2014-04-24|83.62|84.45|83.26|84.17|1352407|USD|579|0.996|0.583353522801339|2018-12-12|1|2018-12-12|1|2018-12-12|1
580|580|2014-04-25|83.25|83.26|81.42|81.68|1680289|USD|580|0.987|0.5863730653491365|2018-12-13|1|2018-12-13|1|2018-12-13|1
581|581|2014-04-28|82.18|82.67|81.43|82.34|816020|USD|581|1.004|0.6176927977389443|2018-12-26|1|2018-12-26|1|2018-12-26|1
582|582|2014-04-29|82.51|82.8|82.09|82.12|975431|USD|582|0.996|0.6227684463563|2018-12-28|1|2018-12-28|1|2018-12-28|1
583|583|2014-04-30|82.14|82.65|81.28|81.39|729305|USD|583|0.9890000000000001|0.6276039416751458|2019-01-09|1|2019-01-09|1|2019-01-09|1
584|584|2014-05-01|81.25|81.7|80.8|81.34|812628|USD|584|0.995|0.6503964726775998|2019-01-10|1|2019-01-10|1|2019-01-10|1
585|585|2014-05-02|80.85|81.55|80.68|80.88|1185891|USD|585|0.99|0.6621130681040078|2019-01-22|1|2019-01-22|1|2019-01-22|1
586|586|2014-05-05|80.07|80.71|79.9|80.25|491987|USD|586|1.002|0.6950969068764955|2019-01-23|5|2019-01-23|5|2019-01-23|5
587|587|2014-05-06|80.26|80.54|79.66|79.9|1033113|USD|587|1.008|0.7111548195951725|2019-01-24|3|2019-01-24|3|2019-01-24|3
588|588|2014-05-07|80.91|81.26|80.17|80.46|989759|USD|588|0.996|0.7158955457717476|2019-01-30|1|2019-01-30|1|2019-01-30|1
589|589|2014-05-08|80.6|81.72|80.41|80.9|1007750|USD|589|1.004|0.7334900901340291|2019-02-01|2|2019-02-01|2|2019-02-01|2
